型号，CPU,GPU，屏幕尺寸，屏幕分辨率，刷新率，内存，硬盘，电池，重量，价格区间，用途分类，品牌
联想拯救者 R9000P,AMD R7-7840HX,RTX 4060,16 英寸，2560x1600,240Hz,16GB DDR5,512GB SSD,80Wh,2.5kg,7000-8000 元，游戏本，联想
联想拯救者 Y9000P,Intel i7-13700HX,RTX 4060,16 英寸，2560x1600,240Hz,16GB DDR5,512GB SSD,80Wh,2.5kg,7500-8500 元，游戏本，联想
联想 ThinkPad X1 Carbon,Intel i7-1355U,Intel Iris Xe,14 英寸，1920x1200,60Hz,16GB LPDDR5,512GB SSD,57Wh,1.12kg,10000-12000 元，商务本，联想
联想小新 Pro14,Intel i5-13500H,Intel Iris Xe,14 英寸，2880x1800,120Hz,16GB DDR5,512GB SSD,65Wh,1.46kg,5000-6000 元，轻薄本，联想
联想拯救者 Y7000P,Intel i7-13650HX,RTX 4050,15.6 英寸，1920x1080,144Hz,16GB DDR5,512GB SSD,60Wh,2.4kg,6500-7500 元，游戏本，联想
联想 ThinkBook 14+,Intel i7-13700H,Intel Iris Xe,14 英寸，2880x1800,90Hz,16GB DDR5,512GB SSD,62Wh,1.4kg,5500-6500 元，商务本，联想
联想扬天 S14,Intel i5-1235U,Intel UHD,14 英寸，1920x1080,60Hz,8GB DDR4,256GB SSD,45Wh,1.45kg,3500-4000 元，办公本，联想
联想小新 Pro16,Intel i7-13700H,RTX 3050,16 英寸，2560x1600,120Hz,16GB DDR5,512GB SSD,75Wh,1.93kg,6500-7500 元，全能本，联想
戴尔 XPS 15 9530,Intel i9-13900H,RTX 4060,15.6 英寸，3456x2160,60Hz,32GB DDR5,1TB SSD,86Wh,2.0kg,12000-14000 元，全能本，戴尔
戴尔 XPS 13,Intel i7-1360P,Intel Iris Xe,13.4 英寸，1920x1200,60Hz,16GB LPDDR5,512GB SSD,52Wh,1.17kg,9000-11000 元，轻薄本，戴尔
戴尔灵越 14 Plus,Intel i7-13700H,Intel Iris Xe,14 英寸，2560x1600,60Hz,16GB DDR5,512GB SSD,64Wh,1.46kg,5500-6500 元，轻薄本，戴尔
戴尔成就 5430,Intel i7-1355U,Intel Iris Xe,14 英寸，1920x1080,60Hz,16GB DDR4,512GB SSD,54Wh,1.38kg,4500-5500 元，商务本，戴尔
戴尔 G15,Intel i7-13650HX,RTX 4060,15.6 英寸，1920x1080,165Hz,16GB DDR5,512GB SSD,56Wh,2.65kg,7000-8000 元，游戏本，戴尔
惠普战 66 七代，Intel i7-1355U,Intel Iris Xe,14 英寸，1920x1080,60Hz,16GB DDR4,512GB SSD,51Wh,1.44kg,4500-5500 元，商务本，惠普
惠普暗影精灵 9,Intel i7-13700HX,RTX 4060,16.1 英寸，2560x1440,240Hz,16GB DDR5,512GB SSD,83Wh,2.35kg,7500-8500 元，游戏本，惠普
惠普星 Book Pro 14,Intel i7-13700H,Intel Iris Xe,14 英寸，2880x1800,90Hz,16GB LPDDR5,1TB SSD,51Wh,1.36kg,5500-6500 元，轻薄本，惠普
